"source","r_nominal","C_nominal","M","Q","C_effective","r_effective","phi","N","b","C_opt","coverage","coverage_error","coverage_mcse","convex_failure_rate","theoretical_delta","theoretical_coverage","normalized_error","normalized_theory","oracle_minus_grid_coverage","paired_mcse","normalized_paired_loss","normalized_paired_theory"
"relative grid",1.5,0.790569415042095,13,19,0.8125,1.54161035933208,0.2,256,0.416666666666667,0.52704627669473,0.92614,-0.02386,0.00082707134154195,0,1.73157051282051,0.937603012263713,2.10777595053007,1.09514134993972,0.00835,0.000621294322415995,0.737633243374941,0.0951413499397222
"relative grid",1.6,0.843274042711568,13,19,0.8125,1.54161035933208,0.2,256,0.416666666666667,0.52704627669473,0.92614,-0.02386,0.00082707134154195,0,1.73157051282051,0.937603012263713,2.10777595053007,1.09514134993972,0.00835,0.000621294322415995,0.737633243374941,0.0951413499397222
"relative grid",1.7,0.895978670381041,14,18,0.875,1.6601957715884,0.2,256,0.416666666666667,0.52704627669473,0.92556,-0.0244399999999999,0.000830052326061436,0,1.78869047619048,0.937194068198108,2.15901275066868,1.13126718676262,0.00893,0.000600921094705137,0.788870043513559,0.131267186762617
"relative grid",1.8,0.948683298050514,15,17,0.9375,1.77878118384471,0.2,256,0.416666666666667,0.52704627669473,0.92308,-0.0269199999999999,0.000842634639686739,2e-05,1.85069444444444,0.936750157639252,2.37809424091657,1.17048193949288,0.01141,0.000597998072753542,1.00795153376145,0.170481939492879
"relative grid",1.9,1.00138792571999,16,16,1,1.89736659610103,0.2,256,0.416666666666667,0.52704627669473,0.9209,-0.0290999999999999,0.000853482220084285,4e-05,1.91666666666667,0.936277836804628,2.57067393798931,1.21220643639788,0.01359,0.000578667838716371,1.20053123083418,0.212206436397879
"relative grid",2,1.05409255338946,17,15,1.0625,2.01595200835734,0.2,256,0.416666666666667,0.52704627669473,0.91968,-0.0303199999999999,0.000859469008167252,8e-05,1.9859068627451,0.935782119272315,2.67844789690157,1.25599778144678,0.01481,0.000637425056070924,1.30830518974645,0.255997781446779
"C = 1",1.89736659610103,1,16,16,1,1.89736659610103,0.2,256,0.416666666666667,0.52704627669473,0.9209,-0.0290999999999999,0.000853482220084285,4e-05,1.91666666666667,0.936277836804628,2.57067393798931,1.21220643639788,0.01359,0.000578667838716371,1.20053123083418,0.212206436397879
"relative grid",0.5,0.263523138347365,6,85,0.265165042944955,0.503115294937453,0.2,512,0.416666666666667,0.52704627669473,0.9371,-0.0128999999999999,0.00076774728915184,0,1.96909596705421,0.940031544490319,1.61160539942651,1.24536563746863,0.00077,0.000448437377970235,0.0961966013611177,0.245365637468633
"relative grid",0.6,0.316227766016838,7,73,0.309359216769115,0.586967844093695,0.2,512,0.416666666666667,0.52704627669473,0.93877,-0.01123,0.000758161507200148,0,1.81090888455662,0.940832359138496,1.40297121205889,1.14531934204677,-9e-04,0.000471162519669381,-0.112437586006501,0.145319342046767
"relative grid",0.7,0.368932393686311,8,64,0.353553390593274,0.670820393249937,0.2,512,0.416666666666667,0.52704627669473,0.93819,-0.01181,0.000761508528514291,0,1.70884138786749,0.941349071029005,1.47543098970753,1.0807661891249,-0.00032,0.000469682000945129,-0.0399778083578671,0.0807661891248985
"relative grid",0.8,0.421637021355784,10,51,0.441941738241592,0.838525491562421,0.2,512,0.416666666666667,0.52704627669473,0.93876,-0.0112399999999999,0.000758219377225351,0,1.60572164894445,0.94187110984622,1.40422051857007,1.01554753978115,-0.00089,0.000463566853800268,-0.111188279495318,0.0155475397811544
